sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
OTU52	-0.22184874961635637	0.5440680443502757	0.0	37	22.5	6.75	2925119	37.8	3884	6	68	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU53	-0.12493873660829993	0.24303804868629442	0.07188200730612536	37	40	7.25	2831860	48.14	4698	3	57.25	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
OTU54	-0.3010299956639812	0.25527250510330607	1.021189299069938	37	37	7	6757502.333	48.7	3884	6	68	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU55	-0.4377071355435253	-0.3010299956639812	-0.2006594505464183	37	37	7	2549878	53.3	3103	2	48	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU56	-0.5228787452803376	0.3010299956639812	0.3979400086720376	37	38.5	8.25	2968500	42.623	2632	4	55	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU57	-0.3010299956639812	0.3010299956639812	1.146128035678238	37	37	7	2317131	50	2336.667	3	52	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU58	-0.3010299956639812	0.25527250510330607	1.021189299069938	37	37	7	6757502.333	48.7	3884	6	68	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU59	-0.1549019599857432	0.07918124604762482	0.8129133566428556	37	34	7	2374505	58.295	4698	3	57.25	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
OTU60	0.3010299956639812	0.16136800223497488	1.0685568950723632	34	35.6	5.5	6099261.283	54.858	5552.417	7.8	84.875	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0
OTU61	-0.09691001300805639	0.20411998265592482	0.16731733474817606	37	36.1	7	5582831.2	41.829	4250.333	7	81.75	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
